ano,candidato,turno,total
2014,Aécio Neves PSDB (PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B),Turno 2,50889412
2014,Dilma Rousseff PT (PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB),Turno 2,54451986
